"","event.id","predicted","NOISE","X045","X085","original","correct"
"134","1567","X085",0.1737,0.054,0.7723,"X085",TRUE
"135","1599","X085",0.4091,0.033,0.5579,"NOISE",FALSE
"136","1600","X085",0.3829,0.0392,0.5779,"X085",TRUE
"137","1607","NOISE",0.908,0.0218,0.0702,"NOISE",TRUE
"138","1612","X085",0.3237,0.0425,0.6338,"X085",TRUE
"139","1620","NOISE",0.9998,1e-04,1e-04,"NOISE",TRUE
"140","1632","NOISE",0.9381,0.0178,0.0441,"NOISE",TRUE
"141","1633","NOISE",0.7108,0.0963,0.1929,"NOISE",TRUE
"142","1640","NOISE",0.9394,0.022,0.0386,"NOISE",TRUE
"143","1642","X045",0.2961,0.516,0.1879,"X045",TRUE
"144","1673","X085",0.2906,0.0435,0.6659,"X085",TRUE
"145","1709","X085",0.3215,0.0452,0.6333,"NOISE",FALSE
"146","1713","X085",0.2509,0.2418,0.5073,"X045",FALSE
"147","1714","X045",0.0556,0.8461,0.0983,"X045",TRUE
"148","1715","X045",0.029,0.8545,0.1165,"X045",TRUE
"149","1716","X045",0.0536,0.8647,0.0817,"X045",TRUE
"150","1724","NOISE",0.9998,0,2e-04,"NOISE",TRUE
"151","1725","NOISE",0.9991,2e-04,7e-04,"NOISE",TRUE
"152","1757","NOISE",0.4482,0.1636,0.3882,"X045",FALSE
"153","1758","X085",0.1789,0.35,0.4711,"X045",FALSE
"154","1771","NOISE",0.6876,0.1194,0.193,"X045",FALSE
"155","1789","X085",0.0934,0.2753,0.6313,"X045",FALSE
"156","1795","NOISE",0.9786,0.0166,0.0048,"NOISE",TRUE
"157","1804","NOISE",0.9921,0.0015,0.0064,"NOISE",TRUE
"158","1830","X085",0.2745,0.3229,0.4026,"X045",FALSE
"159","1872","NOISE",0.9372,0.0225,0.0403,"NOISE",TRUE
"160","1884","NOISE",0.9991,2e-04,7e-04,"NOISE",TRUE
"161","1909","NOISE",0.9986,3e-04,0.0011,"NOISE",TRUE
"162","1967","X085",0.0338,0.2681,0.6981,"X045",FALSE
"163","2005","NOISE",0.9591,0.0052,0.0357,"NOISE",TRUE
"164","2006","NOISE",0.9692,0.0069,0.0239,"NOISE",TRUE
"165","2021","NOISE",0.7317,0.0223,0.246,"NOISE",TRUE
"166","2022","NOISE",0.9534,0.0087,0.0379,"NOISE",TRUE
"167","2023","NOISE",0.8541,0.0067,0.1392,"NOISE",TRUE
"168","2024","NOISE",0.9702,0.0078,0.022,"NOISE",TRUE
"169","2025","NOISE",0.9995,1e-04,4e-04,"NOISE",TRUE
"170","2026","NOISE",0.9958,0.001,0.0032,"NOISE",TRUE
"171","2027","NOISE",0.9989,3e-04,8e-04,"NOISE",TRUE
"172","2029","NOISE",0.9998,0,2e-04,"NOISE",TRUE
"173","2030","NOISE",0.8302,0.0103,0.1595,"NOISE",TRUE
"174","2031","NOISE",0.983,0.0044,0.0126,"NOISE",TRUE
"175","2032","NOISE",0.957,0.0098,0.0332,"NOISE",TRUE
"176","2036","NOISE",0.9983,4e-04,0.0013,"NOISE",TRUE
"177","2039","NOISE",0.9985,4e-04,0.0011,"NOISE",TRUE
"178","2044","NOISE",0.9985,4e-04,0.0011,"NOISE",TRUE
"179","2069","X045",0.1042,0.5573,0.3385,"NOISE",FALSE
"180","2071","NOISE",0.9192,0.0311,0.0497,"NOISE",TRUE
"181","2072","NOISE",0.9292,0.0107,0.0601,"NOISE",TRUE
"182","2073","NOISE",0.9996,1e-04,3e-04,"NOISE",TRUE
"183","2074","NOISE",0.9991,3e-04,6e-04,"NOISE",TRUE
"184","2076","NOISE",0.9872,0.0027,0.0101,"NOISE",TRUE
"185","2078","NOISE",0.9607,0.0066,0.0327,"NOISE",TRUE
"186","2083","NOISE",0.9956,0.0012,0.0032,"NOISE",TRUE
"187","2088","NOISE",0.9984,4e-04,0.0012,"NOISE",TRUE
"188","2089","NOISE",0.9861,0.0032,0.0107,"NOISE",TRUE
"189","2091","NOISE",0.8609,0.0033,0.1358,"NOISE",TRUE
"190","2094","NOISE",0.6325,0.059,0.3085,"NOISE",TRUE
"191","2095","NOISE",0.6748,0.0645,0.2607,"NOISE",TRUE
"192","2096","NOISE",0.9261,0.0117,0.0622,"NOISE",TRUE
"193","2097","NOISE",0.9786,0.0039,0.0175,"NOISE",TRUE
"194","2098","NOISE",0.9619,0.0081,0.03,"NOISE",TRUE
"195","2099","NOISE",0.9323,0.0228,0.0449,"NOISE",TRUE
"196","2100","NOISE",0.9785,0.0041,0.0174,"NOISE",TRUE
"197","2102","NOISE",0.7094,0.025,0.2656,"NOISE",TRUE
"198","2107","NOISE",0.9783,0.0041,0.0176,"NOISE",TRUE
"199","2110","NOISE",0.702,0.0348,0.2632,"NOISE",TRUE
"200","2133","NOISE",0.9321,0.0209,0.047,"NOISE",TRUE
"201","2137","NOISE",0.9873,0.0028,0.0099,"NOISE",TRUE
"202","2141","NOISE",0.988,0.0071,0.0049,"NOISE",TRUE
"203","2142","NOISE",0.964,0.0077,0.0283,"NOISE",TRUE
"204","2143","NOISE",0.9865,1e-04,0.0134,"NOISE",TRUE
"205","2144","NOISE",0.9696,0.0089,0.0215,"NOISE",TRUE
"206","2145","NOISE",0.8677,0.0034,0.1289,"NOISE",TRUE
"207","2146","NOISE",0.9067,0.0056,0.0877,"NOISE",TRUE
"208","2147","NOISE",0.9865,0.003,0.0105,"NOISE",TRUE
"209","2191","NOISE",0.9285,0.023,0.0485,"NOISE",TRUE
"210","2210","NOISE",0.935,0.004,0.061,"NOISE",TRUE
