"","event.id","predicted","NOISE","X045","X085","original","correct"
"196","5377","NOISE",0.8776,0.0024,0.12,"NOISE",TRUE
"197","5378","NOISE",0.9469,0.0077,0.0454,"NOISE",TRUE
"198","5379","NOISE",0.9393,1e-04,0.0606,"NOISE",TRUE
"199","5380","NOISE",0.6014,0.0682,0.3304,"NOISE",TRUE
"200","5382","NOISE",0.7812,0.0247,0.1941,"NOISE",TRUE
"201","5383","NOISE",0.8113,0.0118,0.1769,"NOISE",TRUE
"202","5384","NOISE",0.7788,0.0556,0.1656,"NOISE",TRUE
"203","5385","NOISE",0.9109,0.0636,0.0255,"NOISE",TRUE
"204","5392","NOISE",0.7468,0.03,0.2232,"NOISE",TRUE
"205","5394","NOISE",0.8147,0.0016,0.1837,"NOISE",TRUE
"206","5399","NOISE",0.9568,0.0013,0.0419,"NOISE",TRUE
"207","5400","NOISE",0.8538,4e-04,0.1458,"NOISE",TRUE
"208","5401","NOISE",0.5888,0.0121,0.3991,"NOISE",TRUE
"209","5402","NOISE",0.7784,0.035,0.1866,"NOISE",TRUE
"210","5403","NOISE",0.9986,6e-04,8e-04,"NOISE",TRUE
"211","5404","NOISE",0.8224,0.0134,0.1642,"NOISE",TRUE
"212","5405","NOISE",0.868,0.0099,0.1221,"NOISE",TRUE
"213","5406","NOISE",0.9618,0.0036,0.0346,"NOISE",TRUE
"214","5407","NOISE",0.876,0.0013,0.1227,"NOISE",TRUE
"215","5422","NOISE",0.9161,0.0716,0.0123,"NOISE",TRUE
"216","5423","NOISE",0.9251,0.0318,0.0431,"NOISE",TRUE
"217","5424","NOISE",0.6343,0.0729,0.2928,"NOISE",TRUE
"218","5425","NOISE",0.8052,0.0509,0.1439,"NOISE",TRUE
"219","5426","NOISE",0.7129,0.0219,0.2652,"NOISE",TRUE
"220","5427","NOISE",0.9108,0.0038,0.0854,"NOISE",TRUE
"221","5428","NOISE",0.6277,0.1122,0.2601,"NOISE",TRUE
"222","5429","NOISE",0.9878,0.0037,0.0085,"NOISE",TRUE
"223","5430","NOISE",0.8746,0.0575,0.0679,"NOISE",TRUE
"224","5433","NOISE",0.8078,0.0118,0.1804,"NOISE",TRUE
"225","5434","NOISE",0.9891,0.0025,0.0084,"NOISE",TRUE
"226","5435","NOISE",0.6565,0.0176,0.3259,"NOISE",TRUE
"227","5436","NOISE",0.9963,0.0011,0.0026,"NOISE",TRUE
"228","5437","NOISE",0.9384,0.022,0.0396,"NOISE",TRUE
"229","5440","NOISE",0.9876,0.0025,0.0099,"NOISE",TRUE
"230","5454","NOISE",0.9892,0.0021,0.0087,"NOISE",TRUE
"231","5455","NOISE",0.8457,0.0084,0.1459,"NOISE",TRUE
"232","5459","NOISE",0.8609,0.0035,0.1356,"NOISE",TRUE
"233","5460","NOISE",0.9332,0.0199,0.0469,"NOISE",TRUE
"234","5484","NOISE",0.9499,0.0103,0.0398,"NOISE",TRUE
"235","5485","NOISE",0.755,0.011,0.234,"NOISE",TRUE
"236","5486","NOISE",0.4268,0.3667,0.2065,"NOISE",TRUE
"237","5489","NOISE",0.9746,0.0038,0.0216,"NOISE",TRUE
"238","5490","NOISE",0.7132,0.0245,0.2623,"NOISE",TRUE
"239","5491","NOISE",0.8426,0.0056,0.1518,"NOISE",TRUE
"240","5511","NOISE",0.9962,4e-04,0.0034,"NOISE",TRUE
"241","5516","NOISE",0.8832,0.0901,0.0267,"NOISE",TRUE
"242","5517","NOISE",0.8762,0.0913,0.0325,"NOISE",TRUE
"243","5518","NOISE",0.9996,2e-04,2e-04,"NOISE",TRUE
"244","5519","NOISE",0.924,0.0231,0.0529,"NOISE",TRUE
"245","5520","NOISE",0.9292,0.0229,0.0479,"NOISE",TRUE
"246","5521","NOISE",0.9985,6e-04,9e-04,"NOISE",TRUE
"247","5535","NOISE",0.8694,0.0936,0.037,"NOISE",TRUE
"248","5536","NOISE",0.507,0.2783,0.2147,"NOISE",TRUE
"249","5537","NOISE",0.5681,0.1994,0.2325,"NOISE",TRUE
"250","5538","NOISE",0.413,0.372,0.215,"NOISE",TRUE
"251","5539","NOISE",0.4811,0.2759,0.243,"NOISE",TRUE
"252","5540","X045",0.3574,0.4996,0.143,"NOISE",FALSE
"253","5541","NOISE",0.9258,0.0399,0.0343,"NOISE",TRUE
"254","5545","NOISE",0.5194,0.2407,0.2399,"NOISE",TRUE
"255","5547","NOISE",0.5504,0.1818,0.2678,"NOISE",TRUE
"256","5548","NOISE",0.5904,0.1776,0.232,"NOISE",TRUE
"257","5554","NOISE",0.809,0.0663,0.1247,"NOISE",TRUE
"258","5557","NOISE",0.9311,0.0226,0.0463,"NOISE",TRUE
"259","5572","NOISE",0.9988,4e-04,8e-04,"NOISE",TRUE
"260","5573","NOISE",0.9995,4e-04,1e-04,"NOISE",TRUE
"261","5574","NOISE",0.9315,0.0376,0.0309,"NOISE",TRUE
"262","5575","NOISE",0.9628,0.0105,0.0267,"NOISE",TRUE
"263","5576","NOISE",0.9909,0.0034,0.0057,"NOISE",TRUE
"264","5579","NOISE",0.9618,0.0069,0.0313,"NOISE",TRUE
"265","5580","NOISE",0.975,0.0049,0.0201,"NOISE",TRUE
"266","5581","NOISE",0.9777,0.0057,0.0166,"NOISE",TRUE
"267","5582","NOISE",0.8836,1e-04,0.1163,"NOISE",TRUE
"268","5583","NOISE",0.9901,0.0023,0.0076,"NOISE",TRUE
"269","5584","NOISE",0.9924,0.0024,0.0052,"NOISE",TRUE
"270","5585","NOISE",0.9393,0.0129,0.0478,"NOISE",TRUE
"271","5586","NOISE",0.9984,4e-04,0.0012,"NOISE",TRUE
"272","5587","NOISE",0.9968,7e-04,0.0025,"NOISE",TRUE
"273","5588","NOISE",0.9682,0.0091,0.0227,"NOISE",TRUE
"274","5589","NOISE",0.9847,0.0041,0.0112,"NOISE",TRUE
"275","5590","NOISE",0.9927,0.0024,0.0049,"NOISE",TRUE
"276","5591","NOISE",0.7735,0.0914,0.1351,"NOISE",TRUE
"277","5592","NOISE",0.9193,0.0021,0.0786,"NOISE",TRUE
"278","5593","NOISE",0.9986,3e-04,0.0011,"NOISE",TRUE
