"","freq","avgSpec","avgNoise"
"55",15468.75,-10.46093747213,-19.640678790274
"56",15750,-10.7155607881137,-19.825387343943
"57",16031.25,-10.9166509160674,-20.0109986523682
"58",16312.5,-11.0784023706997,-20.2043634909233
"59",16593.75,-11.2339651942833,-20.4101510809505
"60",16875,-11.376506192096,-20.604412162873
"61",17156.25,-11.5209374849306,-20.7784278940545
"62",17437.5,-11.5941646227775,-20.9419343990316
"63",17718.75,-11.553189661828,-21.1106354334862
"64",18000,-11.4349189587489,-21.2859635971334
"65",18281.25,-11.180849507198,-21.4110537051003
"66",18562.5,-10.8386767810317,-21.4909167143189
"67",18843.75,-10.4931447373966,-21.5590856975081
"68",19125,-10.0390769082685,-21.6325994610551
"69",19406.25,-9.54574645906698,-21.7565243111654
"70",19687.5,-9.03789635485079,-21.9214196242402
"71",19968.75,-8.31283025841678,-22.083529057215
"72",20250,-7.37366348745472,-22.2498416870271
"73",20531.25,-6.25977586859653,-22.3819170567594
"74",20812.5,-5.04763164892483,-22.4882123365958
"75",21093.75,-3.87850559156809,-22.5610030643926
"76",21375,-2.90078368463276,-22.660291684046
"77",21656.25,-2.1634258624092,-22.7703347847496
"78",21937.5,-1.71961813733997,-22.8500182458343
"79",22218.75,-1.61068827606513,-22.9269748796996
"80",22500,-1.75488918219329,-23.0289272925363
"81",22781.25,-2.0267389163479,-23.1593342168207
"82",23062.5,-2.38190532068663,-23.2641141967816
"83",23343.75,-2.73964559860875,-23.353791541538
"84",23625,-2.9489313296215,-23.4727055567123
"85",23906.25,-3.01917656576957,-23.5844379827079
"86",24187.5,-3.06243993156658,-23.6701750977133
"87",24468.75,-3.16649679833314,-23.7534724076059
"88",24750,-3.32290166278634,-23.8152526847207
"89",25031.25,-3.40880353685177,-23.9032233289707
"90",25312.5,-3.40426893490034,-23.9957183678019
"91",25593.75,-3.34096736040844,-24.1028407155441
"92",25875,-3.25616513763066,-24.2254497536611
"93",26156.25,-3.33256166423651,-24.3631867829655
"94",26437.5,-3.52925936393669,-24.4863391319847
"95",26718.75,-3.60873001020017,-24.644599324438
"96",27000,-3.45311341891336,-24.7933823412903
"97",27281.25,-3.33000219905817,-24.9454574299446
"98",27562.5,-3.23310872408272,-25.1168513739695
"99",27843.75,-3.20103305703103,-25.2644504772338
"100",28125,-3.27833424350624,-25.4087169152373
"101",28406.25,-3.42753482232025,-25.614499766144
"102",28687.5,-3.49822726852995,-25.8493101389568
"103",28968.75,-3.45744952811163,-26.084735488404
"104",29250,-3.41866653691572,-26.3386984225078
"105",29531.25,-3.3998642578655,-26.5605738040199
"106",29812.5,-3.40922157059203,-26.7560161658795
"107",30093.75,-3.47192691536263,-26.9486415454307
"108",30375,-3.53193334635829,-27.1505002757989
"109",30656.25,-3.53811994918514,-27.4064619592233
"110",30937.5,-3.50518383561367,-27.684576623958
"111",31218.75,-3.46828709957966,-27.9255512726686
"112",31500,-3.37224342667456,-28.1753915498624
"113",31781.25,-3.2940000035655,-28.4275781442265
"114",32062.5,-3.28586010614642,-28.681808098465
"115",32343.75,-3.35209145744388,-28.9654171905541
"116",32625,-3.37109419622685,-29.2435151833825
"117",32906.25,-3.38624527325836,-29.5032141391264
"118",33187.5,-3.40181085940698,-29.7329795146702
"119",33468.75,-3.40757436064581,-29.9843856182515
"120",33750,-3.40899203001377,-30.2376398292891
"121",34031.25,-3.41094450299819,-30.4798014658837
"122",34312.5,-3.42709161851078,-30.7195585420228
"123",34593.75,-3.46615129944203,-30.9349973647485
"124",34875,-3.49873897388335,-31.144534683757
"125",35156.25,-3.53443202758163,-31.2934261668928
"126",35437.5,-3.55951787888522,-31.4535621635438
"127",35718.75,-3.57899009978955,-31.6036522113643
"128",36000,-3.57219824331258,-31.6992910741683
"129",36281.25,-3.56163774642527,-13.857855230559
"130",36562.5,-3.57889798628373,-10.2430377074171
"131",36843.75,-3.55124693101303,-7.26142809648255
"132",37125,-3.55546013895818,-6.59451680359465
"133",37406.25,-3.53595379075941,-7.16129775421918
"134",37687.5,-3.47499214689169,-7.69323135750666
"135",37968.75,-3.41629645082637,-7.7800769605865
"136",38250,-3.37155572454052,-7.96007256668568
"137",38531.25,-3.41239061256771,-8.48039839261318
"138",38812.5,-3.46356970307549,-9.19948278665131
