UID,species,RL,dB_20kHz,dB_30kHz,dB_40kHz,dB_50kHz,dB_60kHz,dB_70kHz
13000324,X045,119.8297444,136.1479405,130.7933898,124.4668379,113.4680661,113.7973364,108.844088
13000328,X045,115.5015986,133.3116889,117.9414215,121.9554989,119.6882129,111.2298906,106.4180743
13000329,X045,113.5512366,120.4588203,122.0852423,126.7915951,118.1951865,117.388011,111.30825
13000338,X045,120.4059069,136.7904244,129.2380074,111.6584441,123.4135427,118.3027546,107.2184551
13000339,X045,117.4282834,134.178159,123.1896977,109.4249018,122.9773306,124.9409909,109.66661
13000353,X045,120.1209321,137.3555795,127.0417986,119.9841488,117.3709028,120.210675,114.6698192
13000360,X045,119.386644,134.607677,123.2430852,124.2967221,118.0313383,116.298404,118.2726565
13000363,X045,122.7545107,124.526049,124.2935512,116.8989307,117.0704889,123.694584,119.3114071
13000383,X045,118.4886101,134.9158299,129.8448989,121.1734747,119.5134282,112.6350393,95.23244612
13000386,X045,118.0048443,129.6707077,128.3541825,127.6483367,119.0434804,116.1839775,108.5100462
13000390,X045,128.1729483,147.5402356,131.2076034,134.427592,117.6001889,126.3263949,118.2732997
13000393,X045,124.6765676,131.4741978,123.0977849,118.2825077,114.6477071,112.8136858,108.6193513
13000400,X045,117.4221561,122.863608,134.0104005,126.7486338,118.8655805,107.8232399,116.5474007
13000401,X045,116.9942944,125.0011955,123.4399567,121.8689633,110.7117878,116.3290982,108.9812294
13000403,X045,108.0046041,132.0418922,115.1065318,110.7803312,104.1724964,117.7526553,107.1596982
13000406,X045,124.3946153,133.2392545,118.5379618,126.3844732,116.1031736,108.9118937,109.4649479
13000408,X045,116.6376179,128.1767402,128.1915865,123.2699201,112.6107625,103.7784074,115.1716279
13000411,X045,117.8987365,119.1851273,127.2307349,120.2746014,120.9225298,112.9036859,106.962752
13000424,X045,111.0061609,129.682841,120.9780013,106.0752562,119.2180236,104.4905342,113.6241185
13000431,X045,119.6553928,129.7672302,109.7751704,122.6110638,102.4307742,111.6209339,102.8294923
13000444,X045,114.2049481,106.2138974,121.1301479,97.69506552,121.9765652,113.5730712,94.17066257
13000454,X045,107.6957288,129.973838,116.7778386,118.7702405,110.7736495,112.9635234,96.63450283
13000457,X045,110.6323954,124.2796457,119.4682721,117.9317256,119.8415656,117.2195137,112.1697688
13000458,X045,124.2589803,142.2953482,133.2368408,122.3614068,135.1177781,129.711708,122.7358511
13000472,X045,117.5616832,129.020184,126.1620625,120.2399643,116.4290211,102.3609807,114.9814936
13000474,X045,114.8067807,135.8712501,125.8619201,116.2701495,113.7060156,122.0241567,113.9444589
13000501,X045,106.8827136,131.269214,122.6734966,115.6876354,121.0494913,111.7159998,104.152188
13000509,X045,118.0973422,133.2389485,123.0987141,116.6786636,118.246353,111.1090195,108.6227003
13000513,X045,117.522673,122.8645374,125.7324509,118.1531763,114.7563118,108.4614888,114.499554
13000526,X045,108.5770807,131.0799717,118.5608002,117.7114472,110.5633039,118.8030002,107.5211204
