"","freq","avgSpec","avgNoise"
"76",21375,-21.6574012642495,-28.0232690370709
"77",21656.25,-21.7710188981212,-27.9573459066077
"78",21937.5,-21.7689630545127,-27.9466301424731
"79",22218.75,-21.8349444749664,-27.8813879854421
"80",22500,-21.8075356354471,-27.7638397660126
"81",22781.25,-21.7737037475246,-27.6570544883062
"82",23062.5,-21.7051955915253,-27.561856443983
"83",23343.75,-21.6727078068977,-27.4964105988163
"84",23625,-21.5864839982933,-27.496506891054
"85",23906.25,-21.5504176387388,-27.4543174073202
"86",24187.5,-21.4807753115152,-27.4063133603072
"87",24468.75,-21.4859702990946,-27.3760594391334
"88",24750,-21.4322204317754,-27.3483508467013
"89",25031.25,-21.3201004715931,-27.297856231443
"90",25312.5,-21.0834082895451,-27.2486829463091
"91",25593.75,-20.9232488882916,-27.2012509127285
"92",25875,-20.6869137113725,-27.1771088316016
"93",26156.25,-20.5452654008373,-27.2143080531815
"94",26437.5,-20.4669291886985,-27.2425833245177
"95",26718.75,-20.3649648681752,-27.2897523960784
"96",27000,-20.2158784163913,-27.355355045645
"97",27281.25,-20.0709210945066,-27.3674703107799
"98",27562.5,-19.9882447531282,-27.3743286863239
"99",27843.75,-19.8583720630421,-27.3944994680244
"100",28125,-19.7985467121457,-27.4463301653449
"101",28406.25,-19.5287743930052,-27.5890286867709
"102",28687.5,-19.3050529715226,-27.7998902478716
"103",28968.75,-18.9882208869695,-27.9970903826543
"104",29250,-18.5863782993589,-28.1778995933737
"105",29531.25,-18.1141344206013,-28.3172236881631
"106",29812.5,-17.6733567036891,-28.4482008092105
"107",30093.75,-17.1742291024758,-28.6162173621006
"108",30375,-16.7710922605338,-28.8350190301059
"109",30656.25,-16.3309337189594,-29.110176751291
"110",30937.5,-15.8831035609855,-29.3663552732372
"111",31218.75,-15.3850245575732,-29.6682232023429
"112",31500,-14.8894402974185,-30.0012489037767
"113",31781.25,-14.4377991990285,-30.3250996758976
"114",32062.5,-14.0041476393941,-30.6134942615146
"115",32343.75,-13.5518169399739,-30.9254661109679
"116",32625,-13.1322057921396,-31.2392663100793
"117",32906.25,-12.7589939444495,-31.5725955534596
"118",33187.5,-12.3978555604443,-31.920516977663
"119",33468.75,-12.0224611951645,-32.2529332689928
"120",33750,-11.6410998028892,-32.6165413393285
"121",34031.25,-11.2106532881847,-32.9854549817231
"122",34312.5,-10.7767008442773,-33.2947331049528
"123",34593.75,-10.3192411290554,-33.6061058938303
"124",34875,-9.86959599995547,-33.9047824866746
"125",35156.25,-9.41188557366133,-34.1736135262373
"126",35437.5,-8.87776137326301,-34.451949402405
"127",35718.75,-8.40651369595637,-34.6396658079939
"128",36000,-7.91324360153691,-34.782092043573
"129",36281.25,-7.45385995155998,-18.0231644030989
"130",36562.5,-7.04392877094298,-14.1492476951639
"131",36843.75,-6.65141034965448,-11.6026983845148
"132",37125,-6.29045020683839,-11.7388906423515
"133",37406.25,-6.0214347279004,-13.334628160867
"134",37687.5,-5.85251085681115,-14.787789499551
"135",37968.75,-5.70585506156564,-15.5984167442305
"136",38250,-5.58139758063719,-16.3282063134337
