"freq","avgSpec"
47812.5,-3.25147153220635
48093.75,-3.26184799435758
48375,-3.27317413775611
48656.25,-3.29236343952356
48937.5,-3.29485005617694
49218.75,-3.30013972552787
49500,-3.32561333451267
49781.25,-3.34973669248162
50062.5,-3.3831800859975
50343.75,-3.4547113329216
50625,-3.50194565709495
50906.25,-3.55016768941499
51187.5,-3.63908833239176
51468.75,-3.70533262993543
51750,-3.7460615995777
52031.25,-3.81058611487571
52312.5,-3.90745928349729
52593.75,-3.99892245948572
52875,-4.08362003457477
53156.25,-4.17056921687657
53437.5,-4.25344624410944
53718.75,-4.32320550448821
54000,-4.42575610963838
54281.25,-4.53004492788921
54562.5,-4.63217530303285
54843.75,-4.72600446395789
55125,-4.80636442513872
55406.25,-4.91596888346989
55687.5,-5.03954517394136
55968.75,-5.15738596713668
56250,-5.26196963620908
56531.25,-5.35868406959638
56812.5,-5.45465700296056
57093.75,-5.57411288549677
57375,-5.74732799616536
57656.25,-5.95141215441659
57937.5,-6.16773839221752
58218.75,-6.3406214327741
58500,-6.5043373362365
58781.25,-6.6617099641298
59062.5,-6.82150696295699
59343.75,-7.00150014336484
59625,-7.14027006961593
59906.25,-7.28433042004581
60187.5,-7.47433003757208
60468.75,-7.65699499673472
60750,-7.82324880313588
61031.25,-8.00090631894791
61312.5,-8.18850230838257
61593.75,-8.40673109411156
61875,-8.64303597874785
62156.25,-8.88636207600889
62437.5,-9.15640428355292
62718.75,-9.39284708605862
63000,-9.6441475052104
63281.25,-9.90335638868236
63562.5,-10.1706067670553
63843.75,-10.4490759090444
64125,-10.7599957669402
64406.25,-11.0882734121785
64687.5,-11.4270918041065
64968.75,-11.7533999682712
65250,-12.0976131981852
65531.25,-12.4286499439605
65812.5,-12.7696582315677
66093.75,-13.1356646938083
66375,-13.5089053639215
66656.25,-13.8826696092747
66937.5,-14.2852158749752
67218.75,-14.6957330059434
67500,-15.1064582840845
67781.25,-15.5001025876794
68062.5,-15.9950219480283
68343.75,-16.4744946419171
68625,-16.9176992551628
68906.25,-17.4081424328223
69187.5,-17.8967949785919
69468.75,-18.3869747804949
69750,-18.8941448844977
70031.25,-19.4215509473007
70312.5,-19.9532616655234
70593.75,-20.4728995987287
70875,-20.9938148594095
71156.25,-21.4719688242186
71437.5,-21.9133756865588
71718.75,-22.2860078113873
72000,-22.4923942574818
